Model,ID,MT,gamma,theta,v_imp/v_esc,v_esc(m/s)
M0,1,1.0,0.1,0,1.0,4246
M0,2,1.0,0.1,30,1.0,4246
M0,3,1.0,0.1,60,1.0,4246
M0,4,1.0,0.1,90,1.0,4246
M1,5,1.0,0.1,0,1.0,4246
M1,6,1.0,0.1,30,1.0,4246
M1,7,1.0,0.1,60,1.0,4246
M1,8,1.0,0.1,90,1.0,4246
M2,9,1.0,0.1,0,1.0,4246
M2,10,1.0,0.1,30,1.0,4246
M2,11,1.0,0.1,60,1.0,4246
M2,12,1.0,0.1,90,1.0,4246
M3,13,1.03,0.091,0,1.0,4401
M3,14,1.03,0.091,30,1.0,4401
M3,15,1.03,0.091,60,1.0,4401
M3,16,1.03,0.091,90,1.0,4401
M4,17,1.88,0.5,0,1.0,5061
M4,18,1.88,0.5,30,1.0,5061
M4,19,1.88,0.5,60,1.0,5061
M4,20,1.88,0.5,90,1.0,5061
M5,21,3.06,0.032,0,1.0,6622
M5,22,3.06,0.032,30,1.0,6622
M5,23,3.06,0.032,60,1.0,6622
M5,24,3.06,0.032,90,1.0,6622
M6,25,3.25,0.091,0,1.0,6473
M6,26,3.25,0.091,30,1.0,6473
M6,27,3.25,0.091,60,1.0,6473
M6,28,3.25,0.091,90,1.0,6473
M7,29,3.25,0.091,0,1.0,6527
M7,30,3.25,0.091,30,1.0,6527
M7,31,3.25,0.091,60,1.0,6527
M7,32,3.25,0.091,90,1.0,6527
M8,33,3.7,0.2,0,1.0,6546
M8,34,3.7,0.2,30,1.0,6546
M8,35,3.7,0.2,60,1.0,6546
M8,36,3.7,0.2,90,1.0,6546
M9,37,4.23,0.301,0,1.0,6757
M9,38,4.23,0.301,30,1.0,6757
M9,39,4.23,0.301,60,1.0,6757
M9,40,4.23,0.301,90,1.0,6757
M10,41,5.34,0.091,0,1.0,7698
M10,42,5.34,0.091,30,1.0,7698
M10,43,5.34,0.091,60,1.0,7698
M10,44,5.34,0.091,90,1.0,7698
M11,45,6.54,0.091,0,1.0,8271
M11,46,6.54,0.091,30,1.0,8271
M11,47,6.54,0.091,60,1.0,8271
M11,48,6.54,0.091,90,1.0,8271
M12,49,8.94,0.091,0,1.0,9241
M12,50,8.94,0.091,30,1.0,9241
M12,51,8.94,0.091,60,1.0,9241
M12,52,8.94,0.091,90,1.0,9241
M13,53,9.43,0.104,0,1.0,9217
M13,54,9.43,0.104,30,1.0,9217
M13,55,9.43,0.104,60,1.0,9217
M13,56,9.43,0.104,90,1.0,9217
M14,57,26.84,0.091,0,1.0,13600
M14,58,26.84,0.091,30,1.0,13600
M14,59,26.84,0.091,60,1.0,13600
M14,60,26.84,0.091,90,1.0,13600
M15,61,53.66,0.091,0,1.0,17520
M15,62,53.66,0.091,30,1.0,17520
M15,63,53.66,0.091,60,1.0,17520
M15,64,53.66,0.091,90,1.0,17520
M16,65,1.88,0.5,0,1.3,5061
M16,66,1.88,0.5,30,1.3,5061
M16,67,1.88,0.5,60,1.3,5061
M16,68,1.88,0.5,90,1.3,5061
M17,69,3.25,0.091,0,1.1,6473
M17,70,3.25,0.091,30,1.1,6473
M17,71,3.25,0.091,60,1.1,6473
M17,72,3.25,0.091,90,1.1,6473
M18,73,3.25,0.091,0,1.2,6473
M18,74,3.25,0.091,30,1.2,6473
M18,75,3.25,0.091,60,1.2,6473
M18,76,3.25,0.091,90,1.2,6473
M19,77,3.25,0.091,0,1.3,6473
M19,78,3.25,0.091,30,1.3,6473
M19,79,3.25,0.091,60,1.3,6473
M19,80,3.25,0.091,90,1.3,6473
M20,81,3.25,0.091,0,1.4,6473
M20,82,3.25,0.091,30,1.4,6473
M20,83,3.25,0.091,60,1.4,6473
M20,84,3.25,0.091,90,1.4,6473
M21,85,3.25,0.091,0,1.5,6473
M21,86,3.25,0.091,30,1.5,6473
M21,87,3.25,0.091,60,1.5,6473
M21,88,3.25,0.091,90,1.5,6473
M22,89,3.25,0.091,0,2.0,6473
M22,90,3.25,0.091,30,2.0,6473
M22,91,3.25,0.091,60,2.0,6473
M22,92,3.25,0.091,90,2.0,6473
M23,93,4.23,0.301,0,1.1,6757
M23,94,4.23,0.301,30,1.1,6757
M23,95,4.23,0.301,60,1.1,6757
M23,96,4.23,0.301,90,1.1,6757
M24,97,4.23,0.301,0,1.2,6757
M24,98,4.23,0.301,30,1.2,6757
M24,99,4.23,0.301,60,1.2,6757
M24,100,4.23,0.301,90,1.2,6757
M25,101,4.23,0.301,0,1.3,6757
M25,102,4.23,0.301,30,1.3,6757
M25,103,4.23,0.301,60,1.3,6757
M25,104,4.23,0.301,90,1.3,6757
M26,105,4.23,0.301,0,1.6,6757
M26,106,4.23,0.301,30,1.6,6757
M26,107,4.23,0.301,60,1.6,6757
M26,108,4.23,0.301,90,1.6,6757
